var,Coef.BaboonPanTissue,Coef.BaboonAdipose,Coef.BaboonBrain,Coef.BaboonCortex,Coef.BaboonLiver,Coef.BaboonMuscle,Coef.BaboonHeart,Coef.HumanBaboonAgeLogLinear,Coef.HumanBaboonRelativeAge,Coef.PrimateClockSqrt,Coef.PrimateRelativeAge,Coef.LemurMultiTissue,rep..Homo_sapiens.hg19...dim.datAnnotation...1...,CGid,SYMBOL,GeneRegionID,seqnames,CGstart,CGend,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,ENTREZID,transcriptId,distanceToTSS,ENSEMBL,GENENAME,flank_txIds,flank_geneIds,flank_gene_distances,genic,Intergenic,Promoter,fiveUTR,threeUTR,Exon,Intron,downstream,distal_intergenic,main_Categories,CpGislandseqnames,CpGislandstart,CpGislandend,CpGislandwidth,CpGislandstrand,CpGislandlen,CpGislandcount,CpGislandgc,CpGislandoe,CpGislandden,CpGislandpvalue,CpGisland,stackHMM,repeatElements
cg14361627,10.19799781,15.90267412,4.870120497,2.639275931,2.787683155,7.081789731,4.365748512,0.972912096,0.189840656,0.314593266,0.075402062,NA,Homo_sapiens.hg19,cg14361627,KLF14,KLF14_Promoter,chr7,130419116,130419117,51,-,Promoter (<=1kb),7,130417396,130418888,1493,2,136259,uc003vqk.2,-278,ENSG00000266265,Kruppel like factor 14,uc003vqk.2,136259,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,7,130419116,130419255,140,*,140,15,0.685714286,0.9375,0.107142857,3.80E-11,CpGisland,BivProm1,NA
cg04084157,NA,11.03985951,NA,1.188581999,9.179653995,NA,3.845850502,1.492307886,0.200301716,1.517968974,0.285018077,NA,Homo_sapiens.hg19,cg04084157,VGF,VGF_Promoter,chr7,100809049,100809050,51,+,Promoter (<=1kb),7,100805790,100808852,3063,2,7425,uc003uxx.4,-147,ENSG00000128564,VGF nerve growth factor inducible,uc003uxv.4;uc003uxy.2;uc003uxz.2;uc003uxx.4,1174;375607;375607;7425,11313;14508;14508;-147,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,7,100808461,100809064,604,*,604,66,0.693708609,0.920859321,0.109271523,5.05E-48,CpGisland,BivProm1,NA
cg18473521.1,3.529186835,0.892953186,0.101800419,6.290582809,NA,NA,2.20179423,0.103626779,0.017259197,0.24140382,0.042707528,NA,Homo_sapiens.hg19,cg18473521.1,HOXC4,HOXC4_Intron,chr12,54448265,54448266,51,+,"Intron (uc001seu.3/3221, intron 3 of 3)",12,54410642,54449814,39173,1,3221,uc001seu.3,37573,ENSG00000198353,homeobox C4,uc001seu.3;uc001sex.3;uc001sey.2,3221;3221;440101,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm4,NA
cg18473521.2,5.789252178,1.030782789,1.554206659,7.224898545,NA,NA,0.694120992,0.361755686,0.050273262,0.450781384,0.053924303,NA,Homo_sapiens.hg19,cg18473521.2,HOXC4,HOXC4_Intron,chr12,54448265,54448266,51,+,"Intron (uc001seu.3/3221, intron 3 of 3)",12,54410642,54449814,39173,1,3221,uc001seu.3,37573,ENSG00000198353,homeobox C4,uc001seu.3;uc001sex.3;uc001sey.2,3221;3221;440101,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm4,NA
cg02758922,2.434999758,NA,2.921699041,0.103064274,NA,NA,0.802479103,0.159565984,0.019105718,0.017612352,0.006210478,NA,Homo_sapiens.hg19,cg02758922,MZT1,MZT1_Intergenic_downstream,chr13,73082699,73082700,51,-,Distal Intergenic,13,73282495,73301938,19444,2,440145,uc001viu.2,219239,ENSG00000204899,mitotic spindle organizing protein 1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhWk3,NA
cg10501210,-2.426999507,NA,-0.543232195,-0.466915727,-0.379576908,-3.38736981,NA,-0.767980558,-0.124661702,-1.001181131,-0.198064523,NA,Homo_sapiens.hg19,cg10501210,LOC148696,LOC148696_Intergenic_downstream,chr1,207997020,207997021,51,+,Distal Intergenic,1,207991724,207995941,4218,1,148696,uc010psi.2,5246,NA,uncharacterized LOC148696,uc010psi.2,148696,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TSS2,NA
cg09461098,-0.79200461,NA,NA,NA,-6.455413092,NA,NA,-0.821146704,-0.080102153,-0.71593466,-0.04637336,NA,Homo_sapiens.hg19,cg09461098,TNRC6A,TNRC6A_Exon,chr16,24826591,24826592,50,+,"Exon (uc002dmm.3/27327, exon 19 of 25)",16,24741049,24837547,96499,1,27327,uc002dmm.3,85493,ENSG00000090905,trinucleotide repeat containing adaptor 6A,uc002dmm.3;uc010bxs.3;uc002dmn.3;uc002dmo.3;uc002dmp.3;uc002dmq.3,27327;27327;27327;27327;27327;27327,0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx2,NA
cg08097417,2.296500414,NA,10.38009529,6.536599052,NA,NA,NA,1.457412353,0.204509041,0.35804043,0.144585618,NA,Homo_sapiens.hg19,cg08097417,KLF14,KLF14_Promoter,chr7,130419133,130419134,51,-,Promoter (<=1kb),7,130417396,130418888,1493,2,136259,uc003vqk.2,-295,ENSG00000266265,Kruppel like factor 14,uc003vqk.2,136259,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,7,130419116,130419255,140,*,140,15,0.685714286,0.9375,0.107142857,3.80E-11,CpGisland,BivProm1,NA
cg07131451,1.071883654,NA,NA,8.656447777,NA,NA,NA,1.082014484,0.058523063,0.511830355,0.023321531,NA,Homo_sapiens.hg19,cg07131451,NEUROG2,NEUROG2_fiveUTR,chr4,113437276,113437277,51,+,Promoter (<=1kb),4,113434672,113437328,2657,2,63973,uc003ias.3,52,ENSG00000178403,neurogenin 2,uc003ias.3,63973,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,4,113437028,113437341,314,*,314,37,0.694267516,0.981913455,0.117834395,1.66E-28,CpGisland,BivProm1,NA
cg12757011,1.088822407,0.762482503,NA,NA,NA,NA,NA,0.411532342,0.067823753,0.314221965,0.023956805,NA,Homo_sapiens.hg19,cg12757011,TBR1,TBR1_threeUTR,chr2,162281111,162281112,51,-,3' UTR,2,162272620,162281573,8954,1,10716,uc002ubw.1,8491,ENSG00000136535,T-box brain transcription factor 1,uc002ubw.1;uc010foy.2,10716;10716,0;0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,threeUTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm2,NA
cg01213012,-1.444223965,NA,-4.574513053,NA,NA,NA,NA,-1.341745413,-0.258141134,-1.35878481,-0.417125003,NA,Homo_sapiens.hg19,cg01213012,USP5,USP5_Exon,chr12,6971694,6971695,50,+,"Exon (uc001qrh.4/8078, exon 14 of 20)",12,6961285,6975795,14511,1,8078,uc001qrh.4,10360,ENSG00000111667,ubiquitin specific peptidase 5,uc001qrk.4;uc001qrh.4;uc001qri.4,7167;8078;8078,-4890;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx2,NA
cg08402704,5.624770381,3.035250072,NA,NA,NA,NA,NA,0.75606748,0.308232078,0.376626146,0.206596518,NA,Homo_sapiens.hg19,cg08402704,BARHL2,BARHL2_Intergenic_upstream,chr1,91317381,91317382,51,+,Distal Intergenic,1,91177579,91182794,5216,2,343472,uc001dns.3,-134537,ENSG00000143032,BarH like homeobox 2,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,1,91316799,91317390,592,*,592,64,0.733108108,0.82609454,0.108108108,2.89E-46,CpGisland,TSS2,NA
cg09227056,0.937835895,NA,NA,NA,NA,NA,NA,0.298949128,0.048545323,0.646017837,0.124047054,NA,Homo_sapiens.hg19,cg09227056,EVX2,EVX2_Intergenic_downstream,chr2,176940449,176940450,50,+,Distal Intergenic,2,176944835,176948690,3856,2,344191,uc010zeu.2,8241,ENSG00000174279,even-skipped homeobox 2,uc010zeu.2,344191,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ReprPC1,NA
cg07795407,4.438412475,NA,NA,NA,NA,NA,NA,0.391412205,0.101600651,1.919235084,0.269080084,NA,Homo_sapiens.hg19,cg07795407,MEIS2,MEIS2_fiveUTR,chr15,37392157,37392158,50,-,5' UTR,15,37183222,37393500,210279,2,4212,uc001zjt.3,1343,ENSG00000134138,Meis homeobox 2,uc001zjl.3;uc010ucj.2;uc001zjm.3;uc001zjn.3;uc001zjo.4;uc001zjp.4;uc001zjr.4;uc001zjs.4;uc001zjt.3;uc001zju.3,4212;4212;4212;4212;4212;4212;4212;4212;4212;4212,0;0;0;0;0;0;0;0;0;0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,fiveUTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF5,NA
cg20715588,3.572564581,NA,NA,NA,NA,NA,NA,0.365415259,0.048951596,0.260319973,0.05777787,NA,Homo_sapiens.hg19,cg20715588,MAP2K5,MAP2K5_Intron,chr15,67886038,67886039,51,+,"Intron (uc002aqu.3/5607, intron 7 of 21)",15,67835021,68099455,264435,1,5607,uc002aqu.3,50967,ENSG00000137764,mitogen-activated protein kinase kinase 5,uc002aqu.3;uc002aqv.3;uc010ujw.2,5607;5607;5607,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx3,NA
cg03924819,NA,NA,-0.641347536,NA,NA,NA,NA,-0.521677449,-0.077534758,-0.4958651,-0.111068882,NA,Homo_sapiens.hg19,cg03924819,ARID5B,ARID5B_Promoter,chr10,63660464,63660465,50,+,Promoter (<=1kb),10,63661013,63810997,149985,1,84159,uc010qil.2,-498,ENSG00000150347,AT-rich interaction domain 5B,uc010qil.2;uc001jlt.2,84159;84159,0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TSS1,NA
cg26969778,1.203942228,NA,NA,NA,NA,NA,NA,0.197146749,0.03815874,0.06924804,0.023551353,NA,Homo_sapiens.hg19,cg26969778,MIR5004,MIR5004_Exon,chr6,33406264,33406265,51,+,Promoter (<=1kb),6,33406108,33406214,107,1,100847012,uc031snz.1,106,ENSG00000284256,microRNA 5004,uc031snz.1;uc003oeo.2;uc010juy.4;uc011dri.2;uc010juz.3,100847012;8831;8831;8831;8831,0;0;0;0;0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx2,NA
cg14778330,9.104240454,NA,NA,NA,NA,NA,NA,2.517336155,0.502816202,2.859704244,0.885634387,NA,Homo_sapiens.hg19,cg14778330,SOX12,SOX12_threeUTR,chr20,307589,307590,50,+,3' UTR,20,306215,310872,4658,1,6666,uc002wdh.4,1325,ENSG00000177732,SRY-box transcription factor 12,uc002wdh.4,6666,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,threeUTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF3,NA
cg12830284,-0.618106012,NA,NA,NA,NA,NA,NA,-0.168481995,-0.030139262,-0.09197906,-0.026352731,NA,Homo_sapiens.hg19,cg12830284,NPAS3,NPAS3_Intron,chr14,34146395,34146396,50,-,"Intron (uc001wrs.3/64067, intron 6 of 11)",14,33408459,34273382,864924,1,64067,uc001wrs.3,737938,ENSG00000151322,neuronal PAS domain protein 3,uc001wrs.3;uc001wrt.3;uc001wru.3;uc001wrv.3;uc001wrw.3,64067;64067;64067;64067;64067,0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quies3,NA
cg24262627,-7.73027281,NA,NA,NA,NA,NA,NA,-3.927808367,-0.609175734,-2.008793299,-0.677073446,NA,Homo_sapiens.hg19,cg24262627,FOSL2,FOSL2_fiveUTR,chr2,28616582,28616583,51,+,Promoter (<=1kb),2,28615669,28639445,23777,1,2355,uc021vfg.1,863,ENSG00000075426,"FOS like 2, AP-1 transcription factor subunit",uc021vfg.1;uc002rma.3;uc010ymi.2,2355;2355;2355,0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,fiveUTR,2,28616239,28616748,510,*,510,68,0.72745098,1.012436504,0.133333333,4.59E-56,CpGisland,PromF4,NA
cg19945840,0.620185738,NA,NA,NA,NA,NA,NA,0.062532993,0.012516323,0.333886605,0.07720358,NA,Homo_sapiens.hg19,cg19945840,B3GALT6,B3GALT6_Exon,chr1,1168036,1168037,51,+,Promoter (<=1kb),1,1167629,1170420,2792,1,126792,uc001adk.3,357,ENSG00000176022,"beta-1,3-galactosyltransferase 6",uc001adk.3;uc001adh.4;uc001adi.4;uc009vjw.3,126792;51150;51150;51150,0;-539;-539;-539,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,1,1166903,1168492,1590,*,1590,244,0.762264151,1.056443883,0.153459119,2.66E-217,CpGisland,PromF5,NA
cg26364230,NA,NA,NA,2.366365423,NA,NA,NA,0.015648923,0.000157654,0.111596584,8.48E-05,NA,Homo_sapiens.hg19,cg26364230,HAND2-AS1,HAND2-AS1_Promoter,chr4,174452363,174452364,51,-,Promoter (<=1kb),4,174451609,174460622,9014,1,79804,uc003itj.3,754,ENSG00000237125,HAND2 antisense RNA 1,uc003itj.3;uc003itl.5;uc010irf.3;uc010irg.3;uc010irh.3;uc010iri.3;uc010irj.3;uc010irk.3;uc010irl.3;uc011ckd.2;uc010irm.3;uc010irn.3;uc031sht.1;uc003itk.2;uc003itg.1;uc003ith.1,79804;79804;79804;79804;79804;79804;79804;79804;79804;79804;79804;79804;79804;79804;9464;9464,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm2,NA
cg12887931,NA,NA,NA,NA,-5.775687829,NA,NA,-0.655634131,-0.071944068,-1.206075955,-0.209346306,NA,Homo_sapiens.hg19,cg12887931,SLC25A12,SLC25A12_fiveUTR,chr2,172750733,172750734,50,+,Promoter (<=1kb),2,172639915,172750816,110902,2,8604,uc002uhh.3,83,ENSG00000115840,solute carrier family 25 member 12,uc002uhh.3;uc010fqh.3;uc010zdv.2,8604;8604;8604,0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,fiveUTR,2,172750719,172751020,302,*,302,49,0.758278146,1.130481283,0.162251656,1.54E-45,CpGisland,TSS1,NA
cg26322742,1.156008545,NA,0.038530616,NA,NA,NA,NA,NA,0.001339949,0.010352853,0.00731865,NA,Homo_sapiens.hg19,cg26322742,LINC00924,LINC00924_Intergenic_downstream,chr15,96094024,96094025,50,+,Distal Intergenic,15,95976322,96051076,74755,1,145820,uc010urh.2,117704,ENSG00000259134,long intergenic non-protein coding RNA 924,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quies3,NA
cg23801792,NA,NA,-0.707223539,NA,NA,NA,NA,NA,-0.005848776,-2.680084078,-0.860152359,NA,Homo_sapiens.hg19,cg23801792,ARID1A,ARID1A_Promoter,chr1,27019687,27019688,51,+,Promoter (2-3kb),1,27022522,27102198,79677,1,8289,uc001bmt.1,-2835,ENSG00000117713,AT-rich interaction domain 1A,uc001bmt.1;uc001bmu.1;uc001bmv.1,8289;8289;8289,0;0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,1,27019553,27019791,239,*,239,19,0.564853556,0.996707638,0.079497908,1.47E-11,CpGisland,TSS1,NA
cg00787665,NA,NA,NA,NA,NA,NA,NA,0.049887818,0.010827838,0.068250869,0.01215869,NA,Homo_sapiens.hg19,cg00787665,ZNF507,ZNF507_Intron,chr19,32530022,32530023,51,-,"Intron (uc002ntb.1/uc002ntb.1, intron 2 of 3)",19,32836514,32878573,42060,1,22847,uc002nte.3,-306492,ENSG00000168813,zinc finger protein 507,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhWk3,NA
cg00958552,NA,NA,NA,NA,NA,NA,NA,0.161497277,0.018394263,0.150158448,0.011436319,NA,Homo_sapiens.hg19,cg00958552,PABPC1,PABPC1_Exon,chr8,101724923,101724924,51,-,"Exon (uc011lhc.1/26986, exon 7 of 16)",8,101715144,101734315,19172,2,26986,uc003yjs.1,9342,ENSG00000070756,poly(A) binding protein cytoplasmic 1,uc011lhc.1;uc003yjs.1;uc003yjt.1;uc011lhd.1;uc003yju.2,26986;26986;26986;26986;26986,0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx1,NA
cg01245471,NA,NA,NA,NA,NA,NA,NA,-0.817943485,-0.075473086,-0.274158517,-0.050022868,NA,Homo_sapiens.hg19,cg01245471,EVX1,EVX1_fiveUTR,chr7,27282999,27283000,51,+,Promoter (<=1kb),7,27282164,27286192,4029,1,2128,uc003szd.1,785,ENSG00000106038,even-skipped homeobox 1,uc003szd.1;uc010kuy.1;uc011jzn.1,2128;2128;2128,0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,7,27282733,27283136,404,*,404,43,0.725247525,0.81101774,0.106435644,5.64E-31,CpGisland,BivProm2,NA
cg01351663,NA,NA,NA,NA,NA,NA,NA,0.235382024,0.014278516,0.446760887,0.033866434,NA,Homo_sapiens.hg19,cg01351663,SFTA3,SFTA3_Intron,chr14,36974106,36974107,50,-,"Intron (uc001wtq.3/253970, intron 1 of 5)",14,36942494,36988817,46324,2,253970,uc001wts.3,14661,ENSG00000229415,surfactant associated 3,uc001wtq.3;uc001wtr.3;uc001wts.3,253970;253970;253970,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ReprPC1,NA
cg02711775,NA,NA,NA,NA,NA,NA,NA,-0.142604563,-0.004491659,-0.057982265,-0.033828733,NA,Homo_sapiens.hg19,cg02711775,CHPF2,CHPF2_Exon,chr7,150935600,150935601,50,+,"Exon (uc003wjq.1/54480, exon 5 of 5)",7,150929575,150935905,6331,1,54480,uc003wjq.1,5976,ENSG00000033100,chondroitin polymerizing factor 2,uc003wjq.1;uc003wjr.1;uc003wjs.3;uc003wjt.3;uc003wju.3;uc011kvh.1;uc010lqa.1;uc022aqb.1,54480;54480;6604;6604;6604;6604;6604;768213,0;0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx3,NA
