"var","Coef.AxolotlN131.Log2","Coef.AxolotlN131LimbTail.Log2","Coef.AxolotlN131Limb.Log2","Coef.AxolotlN131Tail.Log2","Coef.AxolotlN131EarlyLife.Log2","Coef.AxolotlN131EarlyLifeLimbTail.Log2","Coef.AxolotlN131EarlyLifeLimb.Log2","Coef.AxolotlN131EarlyLifeTail.Log2","Coef.AxolotlN131LaterLife.Log2","Coef.AxolotlN131LaterLifeLimbTail.Log2","Coef.AxolotlN131LaterLifeLimb.Log2","Coef.AxolotlN131LaterLifeTail.Log2","Annotation.Name","SYMBOL","GeneRegionID","seqnames","probeStart","probeEnd","width","strand","CGstart","CGend"
"cg23627494",NA,NA,NA,NA,NA,0.130223858563653,NA,0.000242929979280833,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18308012",NA,NA,NA,NA,NA,0.0831187003240349,NA,0.293328669542271,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26989810",NA,NA,NA,NA,NA,0.0218867804076344,NA,0.237628164347764,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07374022",-0.802642483252114,NA,NA,NA,-0.318650009784229,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg21797039",NA,-0.419922281772427,-0.66686641464525,NA,NA,-0.318620516830234,-0.61793180786223,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10982864",NA,NA,NA,NA,0.124297925933401,0.0111708385327963,0.285456644495511,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08768944",NA,NA,NA,NA,-0.260481512250058,-0.37870981440577,-0.293374252749024,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22413784",0.125734656018408,0.276212689973652,0.0304969186913051,0.0964750052243242,NA,NA,0.181225494241725,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg17214349",NA,NA,-0.125935182750923,NA,NA,NA,-0.736202524691449,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01759834",NA,-0.443860300356834,NA,NA,NA,NA,-0.992266522716273,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06619863",NA,NA,0.599160795019195,NA,NA,NA,0.193489854232779,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11641322",NA,NA,0.198007869509559,NA,NA,NA,0.0931848620659244,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg25860089",NA,NA,0.0628639669431566,NA,NA,NA,0.0726262200644238,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg19860527",NA,NA,NA,NA,NA,-0.3849672662069,-0.259488755243155,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15215577",NA,0.489430923947537,NA,0.288737991316238,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18563768",NA,NA,NA,0.0237283056109526,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14250129",NA,-0.266935065682889,-0.532262538496317,NA,-0.375914674959829,-0.274484853468902,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22170285",-0.221810129996742,NA,NA,NA,-0.580523319311775,-0.52184766226172,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg03098138",0.11146986435478,0.581550290009124,NA,0.104753392880915,NA,0.199795286616835,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05108018",NA,-0.244564734379241,NA,-0.0277876191725457,NA,-0.081905013428477,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg23856718",0.0592505264451556,NA,NA,0.0319101117280679,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13416912",NA,1.64788236265585,NA,NA,NA,0.174769499384109,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15679520",NA,0.296091225765755,NA,NA,NA,0.0226814036801073,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg20408638",NA,NA,0.402933979664244,NA,NA,0.110670042749971,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11922708",NA,NA,-0.820642912819383,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg27038794",0.0373509465057829,NA,NA,NA,NA,0.359472909144555,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02503114",NA,NA,NA,NA,0.129346425874169,0.339787811110739,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07270839",NA,NA,NA,NA,-0.440568696524135,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13273246",NA,NA,NA,0.394269631936813,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24587040",NA,-0.0457784752903352,NA,-0.102069426957445,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg23497109",NA,NA,NA,NA,-2.39761776786891,-0.168928978532625,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14392375",NA,NA,NA,NA,-0.973559848620646,-0.295857292973837,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24766227",0.127445174002821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24202924",0.125552797282886,0.0297668108689244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26051591",NA,NA,NA,NA,-0.07721783466379,-0.733556382337468,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08474267",3.82545363326781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24488067",NA,NA,NA,NA,0.123085560432242,0.0968078706874606,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11244870",0.0737302459797635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09571697",NA,0.1882485660805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26263695",-0.293012959224183,-0.54424933054566,NA,-0.724836721439859,-0.196196516322778,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01065776",NA,-0.341162482335501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg00453591",0.163063400220933,NA,NA,NA,0.181853061675277,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12392571",2.03274604522096,0.254164281987601,NA,NA,0.760933692249128,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22964079",0.139356673855246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05362744",0.00535583859191907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12480296",-1.06653966509852,NA,NA,NA,-0.102488950763548,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14649051",1.77654215836401,NA,NA,NA,2.95058709028741,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06412451",0.34321603582944,NA,NA,NA,0.0771621970092818,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg21090817",0.0165244104231112,NA,NA,NA,0.0267642552957567,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08496735",0.404033560864411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09985959",NA,-0.0230930019720678,NA,NA,-0.144327221377216,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10418984",NA,0.027353707127315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26529854",NA,0.179602174245506,NA,0.115497105976115,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09998077",NA,-0.0264872706234829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01918593",0.579268369925893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06648649",NA,NA,0.953868051114994,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14819454",0.227594762029623,0.386091034131054,NA,0.0895221717437649,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg19894585",-0.0282956340758205,-0.508291549793779,NA,-0.162963352104774,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg20188742",0.450381339195957,1.2641181165719,NA,1.12688228541408,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05911522",-1.69579488671504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04899689",NA,-0.101714091648529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07731972",NA,NA,NA,NA,-0.209651808538313,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09998451",NA,-0.250406544640131,NA,-0.385678064698875,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07010262",NA,1.66358954179413,NA,3.00069203792689,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02939383",NA,NA,NA,NA,-0.553626356620688,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11577476",2.77146413039635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13918864",NA,0.452558875886364,NA,0.510651520784177,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24455383",NA,NA,NA,NA,0.121688193380225,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06142835",NA,NA,NA,NA,0.557987749044143,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11146440",NA,0.543592682149939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg21231503",NA,-0.525934359361428,NA,-1.88559090667677,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg20586603",-0.091399833941556,-0.0817312792891233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14107729",NA,-0.585023182962824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13447705",NA,-0.721107097013512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08715005",NA,NA,0.0855070258433846,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09793883",NA,NA,NA,NA,-0.139909505285908,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg00072485",0.394479924031442,6.38420366911741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12207173",NA,NA,NA,0.63257006190442,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05787618",NA,NA,NA,0.0955128453865346,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01359274",0.0845424820323107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18584182",NA,NA,NA,NA,0.503362393647247,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16986738",4.48549352340082,1.6827597097415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02103833",0.0321526866323315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13710033",NA,-0.0405675473263963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12676910",NA,NA,-0.250405476778407,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg03601723",NA,-0.671371632238354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18059870",1.8864032500878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg25380047",-0.300849557631883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26374905",0.325031893312106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01434508",NA,NA,NA,NA,NA,NA,-0.198222590381918,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22788085",0.0446178914457019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14662402",NA,NA,NA,NA,NA,0.00785589223064347,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22314954",0.114395563021891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11084334",NA,NA,-0.199611090526228,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg19825690",NA,NA,NA,0.0540160548439953,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05977952",NA,NA,NA,NA,-0.158581075703228,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15948787",NA,NA,NA,0.0527539657689774,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16076776",-0.126495335755264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12398079",NA,0.17985312724031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04769602",NA,-0.152325533140609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg12504100",NA,NA,NA,NA,-0.408152586094349,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13181002",NA,NA,NA,NA,0.360846507687773,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26753700",1.24034071878235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15486257",NA,NA,0.14313042055539,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13376897",NA,NA,NA,NA,NA,0.615230533304058,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14399158",NA,0.161354456146498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04108195",NA,NA,NA,NA,0.0651736716813852,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07456773",NA,NA,NA,NA,NA,0.903278976880468,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22389732",NA,NA,NA,NA,NA,-0.124304677671237,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg27311928",NA,NA,NA,NA,0.0128630026875349,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26793710",NA,0.312259891194393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg27188233",NA,0.189852465149028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg00211337",NA,NA,NA,NA,NA,2.89928097710694,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18406453",NA,NA,NA,NA,NA,-1.9738660195804,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18086725",NA,-0.0847298588861023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg03929725",NA,NA,NA,NA,NA,0.103075430385818,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02397231",NA,NA,NA,NA,NA,4.14896902627694,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16391501",NA,NA,NA,-1.23143497938405,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08774648",NA,NA,NA,NA,0.0831996344665169,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02628151",NA,NA,NA,0.109409835004863,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04677464",NA,NA,NA,NA,NA,0.261483846498289,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16121787",NA,NA,NA,NA,NA,-2.23431334459161,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02553697",NA,NA,0.363760538423875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14460924",NA,NA,NA,NA,NA,0.546302138211752,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15237969",NA,NA,NA,NA,-1.02318558319805,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg19766752",NA,NA,NA,0.192361378591368,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08397726",NA,NA,NA,NA,0.0187691866824551,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07629125",NA,NA,NA,NA,0.0431412137284129,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05296751",NA,0.0150508253048508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14748273",NA,NA,NA,NA,NA,NA,NA,-3.47683460749054,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04181061",NA,NA,NA,NA,0.7937991106294,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
