"var","Coef.BatMyotisSkin.Sqrt","Coef.BatPhyllostomusSkin.Sqrt","Coef.BatPteropusSkin.Sqrt","Coef.Antrozous.pallidus_Skin.Sqrt","Coef.Carollia.perspicillata_Skin.Sqrt","Coef.Cynopterus.brachyotis_Skin.Sqrt","Coef.Desmodus.rotundus_Skin.Sqrt","Coef.Eidolon.helvum_Skin.Sqrt","Coef.Eptesicus.fuscus_Skin.Sqrt","Coef.Leptonycteris.yerbabuenae_Skin.Sqrt","Coef.Molossus.molossus_Skin.Sqrt","Coef.Myotis.lucifugus_Skin.Sqrt","Coef.Myotis.myotis_Skin.Sqrt","Coef.Myotis.vivesi_Skin.Sqrt","Coef.Phyllostomus.discolor_Skin.Sqrt","Coef.Phyllostomus.hastatus_Skin.Sqrt","Coef.Pteropus.hypomelanus_Skin.Sqrt","Coef.Pteropus.poliocephalus_Skin.Sqrt","Coef.Pteropus.pumilus_Skin.Sqrt","Coef.Pteropus.rodricensis_Skin.Sqrt","Coef.Pteropus.vampyrus_Skin.Sqrt","Coef.Rhinolophus.ferrumequinum_Skin.Sqrt","Coef.Rhynchonycteris.naso_Skin.Sqrt","Coef.Rousettus.aegyptiacus_Skin.Sqrt","Coef.Saccopteryx.bilineata_Skin.Sqrt","Coef.Tadarida.brasiliensis_Skin.Sqrt","Coef.BatSkin.Sqrt"
"cg24265558",NA,NA,0.524941681833866,NA,0.411274646457545,NA,NA,0.24645674138128,NA,NA,NA,NA,NA,NA,NA,NA,0.0240896463980051,0.707132795531227,NA,NA,0.547150327794649,NA,NA,NA,NA,NA,0.177195645397157
"cg27201382",NA,NA,0.206588197826468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952545173008384,NA,NA,NA,NA,NA,0.451902523492206
"cg25166682",NA,NA,-0.220356381617023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.458854281213621,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327612150319354
"cg25857570",NA,NA,0.199709574145233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410765401126882,NA,NA,NA,NA,NA,0.0228307336440229
"cg27181123",NA,NA,-0.0802493502962434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194389771147148
"cg13400013",NA,0.0326682288934952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298010096586842
"cg06023837",NA,NA,-0.156229202065232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0807978751417861
"cg09946098",NA,NA,-0.252559055226358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612323922655554
"cg22290035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0369133733568626,-0.046553682198366
"cg13766016",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0685417610878437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0821568795306245,NA,NA,NA,-0.414024935946794,NA,-0.25287525227475
"cg12231969",NA,NA,NA,NA,0.20821195968244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11817307435975,NA,NA,NA,NA,NA,NA,NA,1.24149165169906,NA,0.27221251069417
"cg18480384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0992460473523807,0.35249375139691,NA,NA,0.0538245613834733,NA,NA,NA,NA,0.313835536539594
"cg12917139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783321135217817,NA,NA,NA,NA,0.100231823360194
"cg15913680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208672015346403,NA,NA,NA,NA,1.36403015212661
"cg27306452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284586147134926,NA,NA,NA,NA,-0.161986638598511
"cg04477010",NA,NA,NA,0.172373847562575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128126892145366,NA,0.447692072518231,NA,NA,NA,0.00584877752363719,NA,NA,NA,NA,NA,0.0244749551855127
"cg18821963",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0549827721925153,NA,NA,NA,NA,NA,NA,NA,0.488032987807694,0.364367307880001,NA,NA,NA,NA,NA,NA,NA,0.0191556569969304
"cg16524928",NA,NA,NA,NA,1.74295062589991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70367925472658,NA,NA,NA,NA,NA,NA,NA,0.104848158558345
"cg22866580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.250063943373061,NA,NA,NA,NA,NA,NA,NA,-0.0225020245241874
"cg21252702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24247711921771,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0191774648168071
"cg25235409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.213670473938147,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0279040614525161
"cg08188894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341153583734917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0969674813264353
"cg21607628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330698366803235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354508160807008
"cg23415880",NA,NA,NA,0.0826309020310739,0.417449758511062,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253429594641536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669513544374986
"cg10031892",NA,NA,NA,NA,NA,NA,NA,NA,0.0282353724762054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128304721251123
"cg11690870",NA,NA,NA,NA,NA,NA,NA,NA,-0.388361187089847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.556458539728785
"cg00640255",NA,NA,NA,NA,NA,NA,0.159974422800123,NA,NA,0.0154658982060671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216483570293608
"cg05817477",NA,NA,NA,NA,NA,NA,NA,0.520744424187792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0310249578800126
"cg19529849",NA,NA,NA,NA,NA,NA,NA,0.662886512248242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269892623842562
"cg05797975",NA,NA,NA,NA,NA,NA,NA,0.0660821887570625,0.0313867114954791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169999658903786
"cg09817427",NA,NA,NA,NA,1.62560001383068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958101476191903
"cg20872072",-0.0521585954325793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14815482",0.0840632955132339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05575054",NA,0.000559878493058225,0.189156524246873,NA,NA,NA,NA,NA,NA,NA,NA,0.10581257462927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18466140",NA,NA,0.489496190237696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg17177168",NA,0.118842013642516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05332360",-0.336190839656931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025728694994749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg00820579",-0.412980368635969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476632293686886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01687105",-0.0347770223214656,NA,NA,NA,NA,NA,NA,NA,NA,-0.130457173666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09317554",0.0163944341968105,NA,NA,NA,NA,NA,NA,0.0694083670761429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05715367",NA,NA,-0.291951789740675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06718658",-0.274361134392867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.127440208610743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg06946028",-0.0582819460002739,NA,NA,NA,NA,NA,NA,NA,NA,-0.111353222325907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07676047",0.706783235158565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206667134512991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08662919",-0.0405490512298608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17476691073771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15512297",0.55587485695122,NA,NA,NA,NA,NA,6.56182809468367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg23787205",NA,-0.242064496605721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10192470",-0.259315247642044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11173781459672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg19722977",0.0212738780749065,NA,NA,0.106891313387429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13230634",-0.479069253341342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469685257820726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14903956",-0.225271376951677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0664959117202442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18149227",-0.00537163553904398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72012510837867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26683318",0.0212198209886695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg20940153",0.253621454320981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667572770609179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg21714079",0.0159222129819383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1118218707988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22560410",0.0855144843440236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248677318680883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg04023996",NA,2.92135530383246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56647764133087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg23449513",0.154205099263619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580637802365977,NA,NA,NA,NA
"cg27482461",-0.0786214736212661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0265751807489181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg27061549",-0.159982056644727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27903541425246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg27099226",-0.0182222355578536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162358956081551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08789153",NA,0.896845023534415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18252238542035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg00930873",NA,0.156896348244769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482396339476972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10718271",NA,0.0847142217823079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0896265646377605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11084334",NA,0.222964467872689,NA,NA,0.32787061156052,NA,NA,0.49204441986102,NA,NA,NA,NA,NA,NA,0.223030458841403,NA,NA,NA,0.221591992209326,0.467044869667136,NA,NA,NA,NA,NA,NA,NA
"cg04601691",NA,0.120511376670512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368690095582325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg05318100",NA,0.665039862643981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41177847839755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg15162620",NA,NA,0.0666808600900496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18296442",NA,NA,-0.677636337372884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07116727",NA,0.123914065332659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0862626574081931,NA,0.176944684454398,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg09113585",NA,NA,0.535879168202824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14553781",NA,-0.0546851411877985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.456554761020412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08981690",NA,-0.0104814611595505,NA,NA,NA,NA,NA,NA,NA,-0.000481498534770941,NA,NA,NA,NA,-0.173042743932967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16561874",NA,0.0787434146959217,NA,NA,NA,NA,NA,0.186653825576672,NA,NA,NA,NA,NA,NA,NA,NA,0.647292583108265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10157506",NA,-0.187109088644802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208785548231952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg17997082",NA,0.544462726040674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167893081950377,NA,NA,NA,NA,0.302111946167051,NA,NA,NA,NA,NA,NA,NA
"cg11235379",NA,0.400269646109371,NA,0.0203459116962463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0707191000222426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg11741231",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257584360221296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33298867074735,NA,NA,NA,NA,NA
"cg19133511",NA,-0.260289676380086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340774283450521,NA,NA,NA,NA,NA
"cg14328037",NA,0.896067976101072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39818034561238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg22786916",NA,-0.049901953852517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0993982956888275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg16095149",NA,0.533346539234934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660702218115041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26694393",NA,0.017575593306332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479127417547925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18195411",NA,0.324415038068621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0193086126992204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24866418",NA,NA,NA,NA,NA,NA,0.488511182472482,0.248575461508813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14953013197925,NA,NA,NA,NA,0.331029872162988,NA,0.790658643136928,NA
"cg20638025",NA,-0.290292719788401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.102436226704311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg23496355",NA,0.132865018880353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314897896758337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24533228",NA,-0.987333835436163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.068574019542084,-0.239448313232073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg02909927",NA,NA,-0.788310389269987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.922265206659875,-0.0398533123023673,-0.363694509455074,NA,NA,NA,NA,NA,NA
"cg03617806",NA,NA,0.276512208725707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105503677794429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg03837769",NA,NA,0.238721466591193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000117361985095636,NA,NA,NA,NA,NA,NA
"cg04370307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0134980220991663,NA
"cg04878542",NA,NA,2.77994078346423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6634643087536,NA,1.84977481825021,0.811161851977569,NA,NA,NA,NA,NA,NA,NA
"cg05122695",NA,NA,0.191971765884257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644800400963216,NA,NA,NA,NA,NA,NA
"cg09630437",NA,NA,0.125496699385805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40000656813786,NA,NA,NA,NA,NA,NA,NA
"cg12076803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26246819480482,NA
"cg06725850",NA,NA,-0.606965265864461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33876570525438,NA,NA,NA,NA,NA,NA
"cg06772440",NA,NA,-0.0454738818670993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31995546271947,NA,NA,NA,NA,NA,NA
"cg06944510",NA,NA,0.270571660883984,NA,NA,NA,NA,NA,NA,NA,NA,0.058980278468975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13776863",NA,NA,0.00168369561361503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301560117330386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14311946",NA,NA,-0.263863310862432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.514222950045429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg20568292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833780143992812,NA
"cg10381180",NA,NA,-0.191194596771164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.204198754399255,NA,NA
"cg18304538",NA,NA,1.15473522480731,NA,0.71335015555199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25469941897902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
