"var","Coef.Universal3_Age.LogLinearRelAdult","Coef.Universal2_RelativeAge","Coef.CHR","Coef.bp_hg38","Coef.Gene","Coef.Gene.hg19","Coef.ENTREZID","Coef.conservationInMouse","Coef.GeneRegionID","Coef.annotation","Coef.CHR_mm10","Coef.bp_mm10","Coef.Gene_mm10"
"cg19927064",1.412476859,0.499713498,"12",48818919,"CACNB3","CACNB3",784,"conserved gene and region in mouse and human","CACNB3_fiveUTR","5' UTR","15",98635158,"Cacnb3"
"cg14297772",-0.212410327,-0.064508803,"2",118847634,"EN1","EN1",2019,"mapped in human, not mapped in mouse","EN1_fiveUTR","Promoter (<=1kb)","1",120602530,"En1"
"cg11857072",-0.336689496,-0.075030998,"17",40093075,"THRA","THRA",7067,"mapped to different gene in human and mouse","THRA_threeUTR","3' UTR","11",98768212,"Nr1d1"
"cg12501063",-0.229105127,-0.162721611,"17",63412706,"TANC2","TANC2",26115,"conserved gene and region in mouse and human","TANC2_Exon","Exon (ENST00000389520.8/26115, exon 22 of 26)","11",105914067,"Tanc2"
"cg14136214",-0.031930305,-0.035231071,"9",121783622,"DAB2IP","DAB2IP",153090,"mapped in human, not mapped in mouse","DAB2IP_threeUTR","3' UTR","2",35729197,"Dab2ip"
"cg18168101",-0.129017152,-0.082257755,"8",103141399,"BAALC-AS2","BAALC",157556,"mapped in human, not mapped in mouse","BAALC-AS2_Promoter","Promoter (<=1kb)",NA,NA,NA
"cg15330117",-0.080674221,-0.0685643,"10",8054706,"GATA3","GATA3",2625,"conserved gene and region in mouse and human","GATA3_fiveUTR","5' UTR","2",9878571,"Gata3"
"cg26845448",0.306361532,0.023735756,"5",114362796,"KCNN2","KCNN2",3781,"conserved gene but different region in human and mouse","KCNN2_fiveUTR","5' UTR","18",45560174,"Gm31907"
"cg09474015",-0.480858001,-0.009735386,"7",27165104,"HOXA10-HOXA9","HOXA10-HOXA9",100534589,"mapped in human, not mapped in mouse","HOXA10-HOXA9_Exon","Exon (ENST00000343483.7/3205, exon 1 of 2)","6",52225754,"Hoxa9"
"cg07991826",0.585346756,0.210256274,"1",155268734,"CLK2","CLK2",1196,"mapped to different gene in human and mouse","CLK2_Exon","Exon (ENST00000361168.9/1196, exon 4 of 13)","3",89169627,"Clk2"
"cg08510667",0.031267603,0.038626174,"17",78359068,"SOCS3","SOCS3",9021,"conserved gene and region in mouse and human","SOCS3_Exon","Exon (ENST00000330871.3/9021, exon 2 of 2)","11",117968203,"Socs3"
"cg09606114",-0.129866284,-0.030537123,"17",2085784,"SMG6","SMG6",23293,"conserved gene but different region in human and mouse","SMG6_Exon","Exon (ENST00000263073.11/23293, exon 14 of 19)","11",75139309,"Smg6"
"cg21102477",-0.073397784,-0.03769471,"1",34165243,"CSMD2","CSMD2",114784,"conserved gene but different region in human and mouse","CSMD2_fiveUTR","Promoter (<=1kb)","4",127987887,"Csmd2"
"cg20023049",0.169354121,0.00073896,"12",7142946,"CLSTN3","CLSTN3",9746,"conserved gene and region in mouse and human","CLSTN3_Exon","Exon (ENST00000266546.11/9746, exon 11 of 18)","6",124449853,"Clstn3"
"cg20804050",-1.321369915,-0.410231197,"2",118847865,"EN1","EN1",2019,"conserved gene and region in mouse and human","EN1_Promoter","Promoter (<=1kb)","1",120602314,"En1"
"cg16717607",-0.046869846,-0.011711195,"1",33368598,"PHC2","PHC2",1912,"mapped in human, not mapped in mouse","PHC2_Exon","Exon (ENST00000257118.5/1912, exon 5 of 14)","4",128711081,"Phc2"
"cg22454769",0.000639658,0.059316456,"2",105399310,"FHL2","FHL2",2274,"mapped in human, not mapped in mouse","FHL2_fiveUTR","Promoter (<=1kb)",NA,NA,NA
"cg01019040",-0.001225076,-0.022070782,"7",104328968,"LHFPL3","LHFPL3",375612,"conserved gene and region in mouse and human","LHFPL3_Exon","Promoter (<=1kb)","5",22746369,"Lhfpl3"
"cg25467897",-0.25262615,-0.140293455,"X",71153510,"NLGN3","NLGN3",54413,"conserved gene and region in mouse and human","NLGN3_Exon","Exon (ENST00000612180.4/54413, exon 3 of 8)","X",101307108,"Nlgn3"
"cg01998606",0.208019228,0.015427788,"2",144403976,"ZEB2","ZEB2",9839,"mapped in human, not mapped in mouse","ZEB2_fiveUTR","5' UTR","2",45001660,"Zeb2"
"cg14172937",-0.07573239,-0.105931544,"20",46029210,"SLC12A5","SLC12A5",57468,"conserved gene and region in mouse and human","SLC12A5_fiveUTR","5' UTR","2",164968267,"Slc12a5"
"cg22338839",-0.546324871,-0.27893221,"13",107866521,"FAM155A","FAM155A",728215,"conserved gene and region in mouse and human","FAM155A_Exon","Promoter (<=1kb)","8",9770943,"Fam155a"
"cg08681110",0.172314244,0.647719215,"6",113857322,"MARCKS","MARCKS",4082,"conserved gene and region in mouse and human","MARCKS_Promoter","Promoter (<=1kb)","10",37138948,"Marcks"
"cg09362546",-0.162794225,-0.165298047,"12",53973240,"HOTAIR","HOTAIR",100124700,"mapped in human, not mapped in mouse","HOTAIR_fiveUTR","5' UTR","15",102954524,"Hoxc11"
"cg12325485",-0.177777194,-0.049589466,"X",40146141,"BCOR","BCOR",54880,"mapped in human, not mapped in mouse","BCOR_Intron","Intron (ENST00000378455.8/54880, intron 1 of 13)","X",12127920,"Bcor"
"cg07423797",0.102672185,0.098045953,"22",43262719,"SCUBE1","SCUBE1",80274,"conserved gene and region in mouse and human","SCUBE1_Exon","Exon (ENST00000360835.9/80274, exon 5 of 22)","15",83659025,"Scube1"
"cg18060631",-0.274194105,-0.110467548,"2",42051539,"PKDCC","PKDCC",91461,"conserved gene and region in mouse and human","PKDCC_Intron","Intron (ENST00000294964.6/91461, intron 1 of 6)","17",83218655,"Pkdcc"
"cg14865782",-0.147606142,-0.022718582,"6",50715409,"TFAP2D","TFAP2D",83741,"mapped in human, not mapped in mouse","TFAP2D_Exon","Exon (ENST00000008391.3/83741, exon 2 of 8)","1",19104657,"Tfap2d"
"cg20212950",-0.469851341,-0.326965365,"6",163566741,"QKI","QKI",9444,"conserved gene and region in mouse and human","QKI_threeUTR","3' UTR","17",10213412,"Qk"
"cg04847707",-0.067071704,-0.063028003,"8",60822702,"CHD7","CHD7",55636,"conserved gene and region in mouse and human","CHD7_Exon","Exon (ENST00000423902.7/55636, exon 12 of 38)","4",8827083,"Chd7"
"cg16867657",0.09370173,0.10393954,"6",11044644,"ELOVL2-AS1","ELOVL2-AS1",100506409,"mapped in human, not mapped in mouse","ELOVL2-AS1_Exon","Exon (ENST00000607275.6/100506409, exon 1 of 3)",NA,NA,NA
"cg17266282",0.05051112,0.003965565,"6",111973329,"LINC02527","CCN6",105377946,"mapped in human, not mapped in mouse","LINC02527_Intergenic_upstream","Distal Intergenic",NA,NA,NA
"cg26781330",0.109453558,0.006896698,"12",53600991,"ATF7","ATF7",11016,"mapped in human, not mapped in mouse","ATF7_fiveUTR","5' UTR","15",102593710,"Atf7"
"cg05911522",-0.016089608,-0.049101309,"3",147406611,"LOC440982","ZIC4",440982,"mapped to different gene in human and mouse","LOC440982_fiveUTR","5' UTR","9",91368978,"Zic4"
"cg11128281",0.257841317,0.124176363,"4",150599078,"LRBA","LRBA",987,"conserved gene but different region in human and mouse","LRBA_threeUTR","3' UTR","3",86532137,"Lrba"
"cg11664765",0.380126654,0.098578016,"4",182601068,"TENM3","TENM3",55714,"conserved gene but different region in human and mouse","TENM3_Exon","Exon (ENST00000511685.6/55714, exon 4 of 28)","8",48417100,"Tenm3"
"cg25622623",0.111890056,0.18092974,"17",61399779,"LOC101927855","TBX2",101927855,"mapped to different gene in human and mouse","LOC101927855_Promoter","Promoter (<=1kb)","11",85832704,"Tbx2"
"cg11666770",0.07125447,0.00254153,"19",41926758,"LOC100505585","ARHGEF1",100505585,"mapped to different gene in human and mouse","LOC100505585_Intron","Intron (ENST00000599589.5/9138, intron 19 of 20)","7",24943195,"Erfl"
"cg12815291",0.031182491,0.033550484,"8",143439468,"ZC3H3","ZC3H3",23144,"conserved gene and region in mouse and human","ZC3H3_Intron","Intron (ENST00000262577.6/23144, intron 11 of 11)","15",75756305,"Zc3h3"
"cg12651099",0.253632619,0.113960561,"1",110211650,"KCNC4","KCNC4",3749,"conserved gene and region in mouse and human","KCNC4_Exon","Promoter (<=1kb)","3",107458739,"Kcnc4"
"cg20076842",-0.107928798,-0.052299545,"3",28576252,"ZCWPW2","LINC00693",152098,"mapped in human, not mapped in mouse","ZCWPW2_fiveUTR","5' UTR","9",117872712,"Rbms3"
"cg01150494",0.575928418,0.262796867,"12",119718845,"CIT","CIT",11113,"conserved gene but different region in human and mouse","CIT_Exon","Exon (ENST00000261833.11/11113, exon 30 of 47)","5",115981665,"Cit"
"cg15571405",-0.205716271,-0.019370151,"7",131111408,"MKLN1","MKLN1",4289,"mapped to different gene in human and mouse","MKLN1_Intron","Intron (ENST00000421797.6/4289, intron 1 of 18)","6",31221750,"Gm13835"
"cg09710440",1.85468949,0.877027426,"7",104328932,"LHFPL3","LHFPL3",375612,"mapped in human, not mapped in mouse","LHFPL3_Exon","Promoter (<=1kb)",NA,NA,NA
"cg26917960",0.177633092,0.000871896,"9",123422796,"DENND1A","DENND1A",57706,"conserved gene and region in mouse and human","DENND1A_Intron","Intron (ENST00000473039.5/57706, intron 14 of 17)","2",37832371,"Dennd1a"
"cg21390586",-0.47211837,-0.029650148,"14",85621699,"FLRT2","FLRT2",23768,"mapped in human, not mapped in mouse","FLRT2_Exon","Exon (ENST00000330753.6/23768, exon 2 of 2)","12",95779074,"Flrt2"
"cg25140691",0.149110906,0.0033839,"17",40351071,"RARA","RARA",5914,"mapped in human, not mapped in mouse","RARA_Intron","Intron (ENST00000254066.10/5914, intron 4 of 8)","11",98969327,"Rara"
"cg15809488",-0.471813578,-0.225806446,"3",25428622,"RARB","RARB",5915,"mapped in human, not mapped in mouse","RARB_fiveUTR","5' UTR",NA,NA,NA
"cg05575054",0.094140661,0.065671064,"10",114045209,"ADRB1","ADRB1",153,"conserved gene and region in mouse and human","ADRB1_Exon","Exon (ENST00000369295.4/153, exon 1 of 1)","19",56723415,"Adrb1"
"cg23087015",0.690743561,0.294324742,"15",72319625,"CELF6","CELF6",60677,"mapped in human, not mapped in mouse","CELF6_threeUTR","Promoter (<=1kb)","9",59578626,"Celf6"
"cg09461098",-0.331083197,-0.115723588,"16",24815270,"TNRC6A","TNRC6A",27327,"conserved gene but different region in human and mouse","TNRC6A_threeUTR","3' UTR","7",123186686,"Tnrc6a"
"cg19591642",-0.293056301,-0.148587686,"16",24815260,"TNRC6A","TNRC6A",27327,"conserved gene but different region in human and mouse","TNRC6A_threeUTR","3' UTR","7",123186676,"Tnrc6a"
"cg07005811",-0.054121743,-0.084248283,"17",28912612,"PHF12","PHF12",57649,"mapped in human, not mapped in mouse","PHF12_Exon","Exon (ENST00000332830.9/57649, exon 9 of 15)","11",78023688,"Phf12"
"cg10644072",-0.076933725,-0.144604457,"21",40846625,"DSCAM","DSCAM",1826,"mapped in human, not mapped in mouse","DSCAM_Exon","Promoter (<=1kb)","16",97170240,"Dscam"
"cg15746205",-0.190510715,-0.051515946,"22",29290369,"EWSR1","EWSR1",2130,"conserved gene but different region in human and mouse","EWSR1_Exon","Exon (ENST00000483415.5/2130, exon 8 of 8)","11",5080731,"Ewsr1"
"cg09227056",1.436995391,0.615234523,"2",176075721,"EVX2","EVX2",344191,"conserved gene and region in mouse and human","EVX2_Intergenic_downstream","Distal Intergenic","2",74651253,"Evx2"
"cg19711579",1.133288617,0.086819319,"2",181680835,"NEUROD1","NEUROD1",4760,"mapped to different gene in human and mouse","NEUROD1_fiveUTR","Promoter (<=1kb)","2",79456940,"Cerkl"
"cg11084334",0.475738408,0.260997206,"3",9552580,"LHFPL4","LHFPL4",375323,"mapped in human, not mapped in mouse","LHFPL4_Exon","Exon (ENST00000287585.8/375323, exon 2 of 4)","6",113194124,"Lhfpl4"
"cg12841266",0.999456681,0.468898146,"3",9552409,"LHFPL4","LHFPL4",375323,"conserved gene and region in mouse and human","LHFPL4_Exon","Exon (ENST00000287585.8/375323, exon 2 of 4)","6",113193953,"Lhfpl4"
"cg13702222",-0.19236484,-0.121683963,"3",152299451,"MBNL1","MBNL1",4154,"conserved gene and region in mouse and human","MBNL1_fiveUTR","5' UTR","3",60528802,"Mbnl1"
"cg19981759",0.024873945,0.106598551,"3",147409413,"LOC440982","ZIC1",440982,"mapped to different gene in human and mouse","LOC440982_fiveUTR","5' UTR","9",91365750,"Zic1"
"cg23449696",0.164127402,0.101267265,"3",147408155,"LOC440982","ZIC1",440982,"mapped in human, not mapped in mouse","LOC440982_Intron","Intron (ENST00000472523.1/440982, intron 1 of 1)","9",91367271,"Zic4"
"cg24866418",0.540912434,0.312536745,"3",9552398,"LHFPL4","LHFPL4",375323,"conserved gene and region in mouse and human","LHFPL4_Exon","Exon (ENST00000287585.8/375323, exon 2 of 4)","6",113193942,"Lhfpl4"
"cg25731502",-0.075896887,-0.046427291,"3",152299732,"MBNL1","MBNL1",4154,"conserved gene and region in mouse and human","MBNL1_fiveUTR","5' UTR","3",60529080,"Mbnl1"
"cg12428891",0.197037276,0.013994006,"4",17884546,"LCORL","LCORL",254251,"conserved gene and region in mouse and human","LCORL_Exon","Exon (ENST00000382224.5/254251, exon 7 of 7)","5",45734279,"Lcorl"
"cg12880090",-0.105456877,-0.103886945,"5",154811604,"LARP1","LARP1",23367,"mapped in human, not mapped in mouse","LARP1_Exon","Exon (ENST00000336314.9/23367, exon 18 of 19)","11",58057352,"Larp1"
"cg18304538",0.275639808,0.209153012,"5",77852294,"TBCA","TBCA",6902,"conserved gene and region in mouse and human","TBCA_Intron","Intron (ENST00000522370.1/6902, intron 1 of 3)","13",94702400,"Gm48316"
"cg20615601",-0.238719201,-0.155652468,"5",140115517,"PURA","PURA",5813,"conserved gene and region in mouse and human","PURA_threeUTR","3' UTR","18",36288498,"Pura"
"cg24352905",1.73821818,0.509274972,"5",77645452,"OTP","OTP",23440,"conserved gene and region in mouse and human","OTP_Promoter","Promoter (5-6kb)","13",94869014,"Otp"
"cg09817427",0.516067401,0.129808607,"6",84764595,"TBX18","TBX18",9096,"mapped in human, not mapped in mouse","TBX18_fiveUTR","Promoter (<=1kb)","9",87731262,"Tbx18"
"cg27201382",0.811053405,0.523617881,"11",27720483,"BDNF","BDNF",627,"conserved gene and region in mouse and human","BDNF_fiveUTR","Promoter (<=1kb)","2",109676257,"Bdnf"
"cg08563010",-0.317955569,-0.207356586,"12",23921603,"SOX5","SOX5",6660,"conserved gene and region in mouse and human","SOX5_Intron","Intron (ENST00000451604.7/6660, intron 1 of 14)","6",144181147,"Sox5"
"cg10466667",-0.247705629,-0.068272379,"12",53710077,"CALCOCO1","CALCOCO1",57658,"conserved gene but different region in human and mouse","CALCOCO1_threeUTR","3' UTR","15",102705885,"Calcoco1"
"cg14903956",-0.083714102,-0.111425701,"12",13562916,"GRIN2B","GRIN2B",2904,"conserved gene and region in mouse and human","GRIN2B_Exon","Exon (ENST00000609686.3/2904, exon 13 of 13)","6",135732231,"Grin2b"
"cg18894136",-0.016046642,-0.0029695,"13",109667928,"LINC00676","IRS2",101409253,"mapped to different gene in human and mouse","LINC00676_Intron","Intron (ENST00000650264.1/ENST00000650264.1, intron 1 of 3)","8",10924785,"Gm45042"
"cg22069272",-0.291975844,-0.076681466,"13",66631276,"PCDH9","PCDH9",5101,"conserved gene but different region in human and mouse","PCDH9_threeUTR","3' UTR","14",93326745,"Pcdh9"
"cg23415880",0.033510249,0.154549033,"13",27792287,"GSX1","GSX1",219409,"conserved gene and region in mouse and human","GSX1_Promoter","Promoter (<=1kb)","5",147188486,"Gsx1"
"cg23985931",0.159317241,0.22094267,"13",78594976,"OBI1-AS1","OBI1-AS1",100874222,"mapped to different gene in human and mouse","OBI1-AS1_Intron","Intron (ENST00000607205.5/100874222, intron 2 of 3)","14",104459378,"Pou4f1"
"cg12879445",0.357544055,0.153740653,"14",93431016,"UNC79","UNC79",57578,"conserved gene but different region in human and mouse","UNC79_fiveUTR","Promoter (<=1kb)","12",102949588,"Unc79"
"cg11235379",0.303685223,0.107546722,"2",161417813,"TBR1","TBR1",10716,"mapped in human, not mapped in mouse","TBR1_Exon","Exon (ENST00000389554.8/10716, exon 2 of 6)","2",61806111,"Tbr1"
"cg15437942",0.122866361,0.049477061,"9",124018172,"LHX2","LHX2",9355,"conserved gene and region in mouse and human","LHX2_Intron","Intron (ENST00000373615.9/9355, intron 3 of 4)","2",38357359,"Lhx2"
"cg16454989",-0.06611515,-0.008665484,"9",101737926,"GRIN3A","GRIN3A",116443,"mapped in human, not mapped in mouse","GRIN3A_Exon","Promoter (<=1kb)",NA,NA,NA
"cg17856858",-0.12830834,-0.057663434,"9",89001452,"S1PR3","S1PR3",1903,"conserved gene and region in mouse and human","S1PR3_Exon","Exon (ENST00000358157.3/1903, exon 2 of 2)","13",51419039,"S1pr3"
"cg20766695",1.063112086,0.430661937,"9",37026581,"PAX5","PAX5",5079,"conserved gene but different region in human and mouse","PAX5_Intron","Intron (ENST00000358127.9/5079, intron 1 of 9)","4",44703419,"Pax5"
"cg07547549",0.668011925,0.077740052,"20",46029586,"SLC12A5","SLC12A5",57468,"mapped in human, not mapped in mouse","SLC12A5_Intron","Intron (ENST00000454036.6/57468, intron 1 of 25)",NA,NA,NA
"cg05704605",0.448091842,0.072925171,"20",47238916,"ZMYND8","ZMYND8",23613,"mapped in human, not mapped in mouse","ZMYND8_Exon","Exon (ENST00000311275.11/23613, exon 15 of 22)","2",165807695,"Zmynd8"
"cg18963985",-1.121128425,-0.39825672,"18",75210780,"TSHZ1","TSHZ1",10194,"conserved gene but different region in human and mouse","TSHZ1_fiveUTR","Promoter (<=1kb)","18",84086481,"Tshz1"
"cg25055739",-0.005081568,-0.042345772,"17",52157819,"CA10","CA10",56934,"conserved gene and region in mouse and human","CA10_fiveUTR","5' UTR","11",93100192,"Car10"
"cg21602520",-0.006300446,-0.029845906,"18",63318147,"BCL2","BCL2",596,"mapped in human, not mapped in mouse","BCL2_Exon","Exon (ENST00000333681.5/596, exon 2 of 3)","1",106712370,"Bcl2"
"cg22416332",-0.343624744,-0.080980926,"8",21990865,"XPO7","XPO7",23039,"conserved gene and region in mouse and human","XPO7_Exon","Exon (ENST00000252512.14/23039, exon 18 of 28)","14",70682386,"Xpo7"
"cg07292994",-0.213066626,-0.175028628,"5",36876731,"NIPBL-DT","NIPBL-DT",646719,"mapped to different gene in human and mouse","NIPBL-DT_Promoter","Promoter (<=1kb)","15",8444668,"Nipbl"
"cg09809672",-0.299948654,-0.203516381,"1",236394382,"EDARADD","EDARADD",128178,"mapped in human, not mapped in mouse","EDARADD_fiveUTR","5' UTR",NA,NA,NA
"cg12338698",-0.429965158,-0.176506002,"1",33334138,"PHC2","PHC2",1912,"conserved gene and region in mouse and human","PHC2_Exon","Exon (ENST00000431992.5/1912, exon 8 of 13)","4",128743507,"Phc2"
"cg05039938",-0.11980594,-0.139131933,"12",26278064,"SSPN","SSPN",8082,"conserved gene but different region in human and mouse","SSPN_Intron","Intron (ENST00000534829.5/ENST00000534829.5, intron 2 of 3)","6",146001860,"Sspn"
"cg06997801",0.879050117,0.002219338,"15",96331522,"NR2F2","NR2F2",7026,"conserved gene but different region in human and mouse","NR2F2_fiveUTR","5' UTR","7",70360923,"Nr2f2"
"cg07564343",-0.059142465,-0.154170596,"15",61227291,"RORA","RORA",6095,"conserved gene and region in mouse and human","RORA_Intron","Intron (ENST00000335670.11/6095, intron 1 of 10)","9",68655809,"Rora"
"cg07932605",0.003474129,0.036464469,"15",37102437,"MEIS2","MEIS2",4212,"mapped to different gene in human and mouse","MEIS2_Promoter","Promoter (1-2kb)","2",116067930,"Meis2"
"cg08651129",-0.210809633,-0.234631469,"15",29720658,"TJP1","TJP1",7082,"conserved gene and region in mouse and human","TJP1_Exon","Exon (ENST00000346128.10/7082, exon 19 of 28)","7",65315007,"Tjp1"
"cg11677981",0.151532645,0.061204522,"15",89360535,"MIR9-3HG","MIR9-3",254559,"mapped to different gene in human and mouse","MIR9-3HG_Promoter","Promoter (1-2kb)","7",79497894,"Polg"
"cg13589316",-0.116098346,-0.024016947,"2",104052556,"LINC01831","LOC100287010",101927331,"mapped to different gene in human and mouse","LINC01831_Intron","Intron (ENST00000537492.5/ENST00000537492.5, intron 1 of 3)","1",41918909,"Gm5267"
"cg14361875",-0.078773803,-0.032572695,"2",67846376,"LINC01812","C1D",101927701,"mapped to different gene in human and mouse","LINC01812_Intergenic_upstream","Distal Intergenic",NA,NA,NA
"cg10916192",-0.006764545,-0.065824821,"17",7406550,"NLGN2","NLGN2",57555,"conserved gene and region in mouse and human","NLGN2_Intron","Intron (ENST00000575301.5/57555, intron 1 of 7)","11",69836086,"Nlgn2"
"cg16286672",-0.012404138,-0.034146123,"2",163732790,"FIGN","FIGN",55137,"mapped in human, not mapped in mouse","FIGN_Intron","Intron (ENST00000409634.5/55137, intron 2 of 2)","2",64094634,"Fign"
"cg16745091",0.258721628,0.094461788,"2",121418657,"CLASP1","CLASP1",23332,"conserved gene and region in mouse and human","CLASP1_Exon","Exon (ENST00000646274.1/23332, exon 22 of 39)","1",118532049,"Clasp1"
"cg16376499",-0.561652137,-0.248883104,"5",88666011,"LINC00461","LINC00461",645323,"mapped to different gene in human and mouse","LINC00461_Exon","Exon (ENST00000500197.6/645323, exon 4 of 4)","13",83739717,"Gm6411"
"cg16624401",-0.160348286,-0.025830837,"5",149847621,"PPARGC1B","PPARGC1B",133522,"conserved gene and region in mouse and human","PPARGC1B_threeUTR","3' UTR","18",61298619,"Ppargc1b"
"cg11438204",0.648551985,0.449916169,"7",128754286,"CALU","CALU",813,"mapped in human, not mapped in mouse","CALU_Exon","Exon (ENST00000535011.6/813, exon 3 of 6)","6",29361318,"Calu"
"cg11516694",-0.298006473,-0.041413538,"7",27147848,"HOXA-AS3","HOXA-AS3",100133311,"mapped to different gene in human and mouse","HOXA-AS3_Intron","Intron (ENST00000518848.5/100133311, intron 1 of 2)","6",52208723,"Hoxa6"
"cg12307242",0.154614602,0.060451006,"7",122328825,"CADPS2","CADPS2",93664,"conserved gene and region in mouse and human","CADPS2_Intron","Intron (ENST00000482375.5/ENST00000482375.5, intron 1 of 3)","6",23272758,"Cadps2"
"cg12685265",0.716542527,0.178520639,"7",105015676,"KMT2E","KMT2E",55904,"conserved gene and region in mouse and human","KMT2E_Intron","Intron (ENST00000257745.8/55904, intron 1 of 25)","5",23435902,"Kmt2e"
"cg12981876",-0.03612098,-0.021387704,"7",100682172,"GIGYF1","GIGYF1",64599,"mapped to different gene in human and mouse","GIGYF1_Exon","Exon (ENST00000275732.5/64599, exon 22 of 24)","5",137525234,"Epo"
"cg13188467",-5.21538e-05,-0.033961321,"7",96998781,"DLX6-AS1","DLX6-AS1",285987,"mapped to different gene in human and mouse","DLX6-AS1_Intron","Intron (ENST00000430027.3/285987, intron 1 of 2)","6",6856418,"Dlx6"
"cg14728312",0.012684066,0.063525432,"7",70446526,"AUTS2","AUTS2",26053,"mapped in human, not mapped in mouse","AUTS2_Intron","Intron (ENST00000644939.1/26053, intron 5 of 18)",NA,NA,NA
"cg12642246",0.10851454,0.085836748,"17",47982387,"CDK5RAP3","CDK5RAP3",80279,"conserved gene but different region in human and mouse","CDK5RAP3_Intron","Intron (ENST00000578239.1/ENST00000578239.1, intron 1 of 1)","11",96907193,"Cdk5rap3"
"cg13916600",0.205651803,0.284185935,"17",81395342,"BAHCC1","BAHCC1",57597,"conserved gene and region in mouse and human","BAHCC1_Promoter","Promoter (<=1kb)","11",120232814,"Bahcc1"
"cg26869371",-0.001102866,-0.053183747,"15",49424281,"FAM227B","FAM227B",196951,"mapped in human, not mapped in mouse","FAM227B_fiveUTR","5' UTR","2",126035698,"Fam227b"
"cg03247467",-0.078234496,-0.007630757,"16",52351779,"CASC22","TOX3",283854,"mapped in human, not mapped in mouse","CASC22_Intergenic_downstream","Distal Intergenic",NA,NA,NA
"cg09360996",-0.26521743,-0.160077529,"1",213996654,"PROX1","PROX1",5629,"mapped in human, not mapped in mouse","PROX1_Exon","Exon (ENST00000471129.1/5629, exon 2 of 2)",NA,NA,NA
"cg26363341",0.17555226,0.06259674,"2",208304946,"PIKFYVE","PIKFYVE",200576,"conserved gene and region in mouse and human","PIKFYVE_threeUTR","3' UTR","1",65224262,"Pikfyve"
"cg02963786",-0.194348322,-0.085778172,"6",10395521,"TFAP2A","TFAP2A-AS1",7020,"mapped in human, not mapped in mouse","TFAP2A_Intron","Intron (ENST00000461628.5/7020, intron 2 of 2)","13",40714178,"Tfap2a"
